word,wordclass,translations,synonyms,definition,sentences
fond,adj,좋아하는,affected;attached;inclined;partial,having a liking or affection,Even lots of city people are *fond* of country music.
fond,adj,상냥한;마음에 들어하는,adoring;affectionate;devoted;loving;tender;tenderhearted,feeling or showing love,Gave me a *fond* embrace upon parting.
fond,adj,선호하는,beloved;cherished;dear;fair-haired;favored;favorite;darling;loved;pet;precious;special;sweet;white-headed,granted special treatment or attention,My *fondest* wish is to see my children marry well.
heed,n,주의;집중;유심,advertence;advertency;awareness;cognizance;consciousness;ear;eye;attention;knowledge;mindfullness;note;notice;observance;observation,a state of being aware,Took *heed* of the student's learning disability so as to arrive at reasonable expectations for him.
heed,n,주의;집중;유심,carefulness;closeness;conscientiousness;care;heedfulness;meticulosity;meticulousness;pains;scrupulousness,strict attentiveness to what one is doing,Pay *heed* to what you're doing with that knife while you're talking.
heed,v,따르다;듣다;주의하다,follow;listen;mind;note;observe;regard;watch,to take notice of and be guided by,"If we had *heeded* the ranger's advice, we might not have gotten lost."
heed,v,듣다;마음쓰다,attend;hark;harken;hear;hearken;listen;mind,to pay attention especially through the act of hearing,That boy never *heeds* when I caution him about running with his shoelaces untied.
involve,v,관여시키다;연루시키다,affect;concern;touch,to be the business or affair of,"This isn't something that *involves* you, so don't worry about it."
involve,v,포함하다;수반하다,carry;comprehend;contain;embrace;encompass;entail;include;number;subsume;take in,to have as part of a whole,"A tragic play usually *involves* a number of plot devices, including the hero's fatal flaw."
involve,v,관여시키다;연루시키다,absorb;bemuse;busy;catch up;engross;enthrall;enwrap;fascinate;grip;immerse;interest;intrigue;engage;occupy,to hold the attention of,Her blissful daydream so completely *involved* her that she never heard the knock on the door.
involve,v,둘러쌓다,bosom;bower;circumfuse;cocoon;embosom;embower;embrace;enclose;encompass;enshroud;enswathe;envelop;enwrap;invest;enfold;lap;mantle;muffle;shroud;swathe;veil;wrap,to surround or cover closely,A mind that was deeply *involved* in doubt about his wife's fidelity.
lean,adj,여윈;비계가 적은,bony;fatless;thin;lithe;skinny;slender;slim;spare;svelte,having a noticeably small amount of body fat,All of the marathoners are extremely *lean*.
lean,n,기울기;경사,cant;diagonal;grade;gradient;inclination;incline;slant;pitch;rake;slope;tilt;upgrade,the degree to which something rises up from a position level with the horizon,The wall has enough of a *lean* that we can't set a bookcase against it.
lean,v,기울이다;숙이다,angle;cant;cock;heel;incline;list;pitch;slant;slope;tilt;tip,to set or cause to be at an angle,Just *lean* the ladder against the tree and climb up it.
lean,v,치우치다,incline;run;tend;trend,to show a liking or proneness (for something),The family's diet *leans* toward greasy food.
lean,v,기대다;의지하다,calculate;count;depend;reckon;rely,to place reliance or trust,You can always *lean* on me if you need help.
liable,adj,~하기 쉬운;~할 것 같은,endangered;exposed;open;sensitive;subject;susceptible;vulnerable,being in a situation where one is likely to meet with harm,"Because of his frail constitution, he's *liable* to diseases."
liable,adj,책임져야 할,accountable;amenable;answerable;responsible,being the one who must meet an obligation or suffer the consequences for failing to do so,The owner of a pet is *liable* for any damage that that pet might do.
lump,n,덩어리,blob;chunk;clod;clot;clump;dollop;glob;gob;gobbet;hunk;knob;nub;nubble;nugget;wad,a small uneven mass,She dumped a *lump* of clay on the table and started to sculpt.
lump,n,혹,knot;bump;node;nodule;swelling,a small rounded mass of swollen tissue,I got a good-sized *lump* on my head from that fall.
lump,n,멍울,excrescence;excrescency;growth;neoplasm;tumor,an abnormal mass of tissue,Advised by her doctor to examine her breasts regularly for unusual *lumps*.
lump,v,덩어리지다,accumulate;amass;assemble;bulk;collect;concentrate;congregate;constellate;corral;garner;group;gather;pick up;round up,to bring together in one body or place,"When we *lumped* all of our pocket change together, we found that we had just enough a buy a carton of ice cream."
marvel,n,경이로움,caution;flash;wonder;miracle;phenomenon;portent;prodigy;sensation;splendor,something extraordinary or surprising,That new electric car really is a *marvel*.
modest,adj,적당한,average;intermediate;mean;median;medium;middling;midsize;moderate;middle,being about midway between extremes of amount of size,He was awarded a *modest* pension when he retired.
modest,adj,겸손한;얌전한,demure;down-to-earth-lowly-meek;humble;unassuming;unpretentious,"not having or showing any feelings of superiority, self-assertiveness, or showiness",She is appealingly *modest* about her success in the fashion industry.
oath,n,선서;맹세,promise;pledge;troth;vow;word,a person's solemn declaration that he or she will do or do not do something,I need your *oath* that you won't do anything until I've had time to make a decision.
observance,n,준수,abidance;adherence;compliance;conformance;conformity;keeping;obedience;observation,"the following of a custom, rule, or law",The *observance* of this family trandition would make your grandmother very happy.
observance,n,축하,ceremonial;ceremony;form;formality;rite;ritual;solemnity,an oft-repeated action of series of actions performed in accordance with tradition or a set of rules,Some religions require very specific *observances* on holy days.
paddle,n,노,oar;scull;blade,a usually wooden implement that has a long handle and a broad flattened blade and that is used to propel and steer a small craft.,"The flow of the river was powerful and fast, so I had to *paddle* hard."
paddle,v,노를 젓다,oar;row;scull,to move a boat by means of oars,I like to *paddle* on the river for exercise and relaxation.
paddle,v,철벅거리다;반복적으로 치다,bash;baste;bat;batter;belabor;belt;birch;bludgeon;buffet;bung up;club;curry;do;drub;fib;flog;hammer;hide;lace;lambaste;lash;lather;lick;maul;mess;beat;pelt;pommel;pound;pummel;punch out;rough;slate;slog;switch;tan;thrash;thresh;thump;tromp;wallop;whale;whip;whop;whup;work over,to strike repeatedly,Back in those times it was acceptable for teachers to *paddle* misbehaving students.
profess,v,(거짓으로) 자칭하다,act;affect;assume;bluff;counterfeit;dissemble;fake;pass;pretend;feign;put on;sham;simulate,to present a false appearance of,*Professed* friendship while secretly plotting revenge.
profess,v,공언하다,affirm;aver;avouch;avow;declare;guarantee;lay down;assert,to state clearly and strongly,The lonely woman *professed* her love in a series of letters to the soldier.
profess,v,고백하다;자백하다,affirm;allege;assert;aver;avouch;avow;contend;declare;insist;maintain;claim;protest;purport;warrant,to state as a fact usually forcefully,He *professed* his innocence to anyone who would listen.
repel,v,물리치다;쫓아버리다;격퇴하다,beat off;fend;rebut;repulse;stave off;turn away;turn back,to drive back,The defenders *repelled* the attacking army after several hours of fierce fighting.
repel,v,물리치다,buck;defy;fight;oppose;resist;withstand,to refuse to give in to,*Repelled* the temptation to stay out late and call in sick the next day.
responsible,adj,담당의,accountable;amenable;answerable;liable,being the one who must meet an obligation or suffer the consequences for failing to do so,The state laws hold pet owners *responsible* for any damage or injury done by improperly restrained animals.
responsible,adj,책임이 있는,calculable;good;reliable;dependable;safe;secure;solid;steady;sure;tried;tried-and-true;true;trustable;trustworthy;trusty,worthy of one's trust,Our regular babysitter is very *responsible*.
scheme,n,음모;사기,artifice;device;dodge;fetch;flimflam;gambit;gimmick;jig;juggle;knack;play;ploy;trick;shenanigan;sleight;stratagem;wile,a clever often underhanded means to achieve an end,An e-mail *shceme* to trick unwary Internet users into disclosing passwords and financial information.
scheme,n,음모;사기,conspiracy;design;intrigue;machination;plot,a secret plan for accomplishing evil or unlawful ends,A *scheme* to kidnap the president's daughter.
scheme,n,계획;설계,arrangement;blueprint;design;game;game plan;ground plan;master plan;program;project;road map;plan;strategy;system,a method worked out in advance for achieving some objective,A *scheme* to upgrade the city's mass transit system.
scheme,v,음모를 꾸미다,collude;compass;connive;conspire;contrive;intrigue;machinate;put up;plot,to engage in a secret plan to accomplish evil or unlawful end,The town inspector had *schemed* to overlook the contractor's code violations in exchange for a substantial bribe.
scold,v,꾸짖다;혼내다;야단치다;질책하다;나무라다,baste;bawl out;berate;call down;castigate;chastise;chew out;dress down;flay;hammer;jaw;keelhaul;lambaste;lecture;rag;rail;rant;rate;ream;rebuke;reprimand;reproach;score;toungue-lash;upbraid,to criticize (someone) severely or angrily especially for personal failings,He *scolded* the kids for not cleaning up the mess they had made in the kitchen.
season,v,양념하다,flavor;lace;savor;spice,to make more pleasant to the taste by adding something intensely flavored,The chef *seasoned* the vegetables as soon as they came out of the oven
shore,n,지주;버팀목,brace;buttress;mount;mounting;prop;reinforcement;support;spur;stay;underpinning,a structure that holds up or serves as a foundation for something else,The carpenter placed a *shore* underneath the sagging roof of the porch.
site,n,현장;장소;부지,emplacement;locale;locality;location;locus;point;position;place;spot;venue;where,the area or space occupied by or intended for something,This field is the intended *site* for a new shopping mall.
sour,adj,맛이 신,acid;acidic;acidulous;sourish;tart;tartish;vinegary,causing or characterized by the one of the four basic taste sentations that is produced chiefly by acids,The *sour* candy made our mouths all wrinkly inside.
sour,adj,불쾌한;싫은,bad;bitter;disagreeable;displeasing;distasteful;harsh;icky;nasty;rotten;unpleasant;uncongenial;unlovely;unpalatable;unpleasing;unsavory;unwelcome;wicked;yucky,not giving pleasure to the mind or senses,You'll have to face up to the *sour* truth of the matter.
sour,adj,표준 이하의,bastard;bush;bush-league;crummy;deficient;dissatisfactory;ill;inferior;lame;lousy;off;paltry;poor;punk;bad;suboptimal;subpar;substandard;unacceptable;unsatisfactory;wack;wanting;wretched;wrong,falling short of a standard,"Things started off well, but now it's all gone *sour*."
sour,v,악화시키다,alien;alienate;disaffect;disgruntle;estrange,to cause to change from friendly or loving to unfriendly or uncaring,A misunderstanding that *soured* their relationship for a long time.
spoil,n,약탈품;전리품,booty;pillage;plunder;loot;swag,valuables stolen or taken by force,"The bandits escaped with their lives but not with the *spoils""."
spur,n,박차;자극,boost;encouragement;goad;impetus;incentive;incitation;incitement;instigation;momentum;motivation;provocation;impulse;stimulant;stimulus;yeast,something that arouses action or activity,The threat of losing its only sports franchise was the *spur* the city council needed to finally do something about the rising crime rate.
spur,n,지지대,brace;buttress;mount;mounting;prop;reinforcement;shore;support;stay;underpinning,a structure that holds up or serves as a foundation for something else,A weak wall that might need a *spur*.
spur,v,원동력이 되다;자극하다;박차를 가하다,dig;goad;prod,to urge or push forward with or as if with a pointed object,He gently *spurred* the horse with his heels.
staple,adj,주요한;기본적인,average;default;standard;regular;mainline,"basic or main, standard or regular",The summer *staple* item this year is any garment that is off the shoulder.;Her latest film is the *staple* offering of action and comedy that we have come to expect.
staple,n,주요 산물;기본 식품,brunt;bulk;chief;core;generality;main;mass;body;weight,the main or greater part of something as distinguished from its subordinate parts,Reading is the very *staple* of a person's education.
thermometer,n,온도계;체온계,thermopile;thermometrograph,an instrument for determining temperature,The liquid-in-glass *thermometer* was the first true temperature measuring instrument.
triumph,n,위업,achievement;acquirement;attainment;baby;coup;success;accomplishment,a successful result brought about by hard work,Getting into Harvard is quite a *triumph*.
triumph,n,승리;정복,palm;victory;win,an instance of defeating an enemy or opponent,Our stunning *triumph* on the field won us the title of regional champs.
triumph,v,이기다;승리를 거두다,conquer;prevail;win,to achieve victory (as in a contest),"Despite an accident early on, the runner persevered and ultimately *triumphed*."
triumph,v,개가를 올리다;성공을 기뻐하다;의기양양해지다,crow;delight;exuberate;glory;jubilate;joy;kvell;rejoice;exult,to feel or express joy or triumph,In that part of the world it's customary for people to *triumph* by firing guns into the air.
uninterested,adj,흥미없는;무관심한,apathetic;casual;complacent;disinterested;incurious;insensible;insouciant;nonchalant;perfunctory;pococurante;unconcerned;uncurious;indifferent,having or showing a lack of interest or concern,The teacher decided to make a career change after having to teach yet another class of *uninterested* teens.
uphold,v,지지하다;유지시키다;인정하다,defend;justify;support;maintain,to continue to declare to be true or proper despite opposition or objections,Determined to *uphold* her views in the face of all chanllenges.
uphold,v,지지하다;유지시키다,bear;bolster;brace;buttress;carry;prop;shore;stay;sustain;undergird;underpin;support,to hold up or serve as a foundation for,An entablature *upheld* by a series of gracefully slender columns.
uphold,v,올리다,boost;crane;elevate;heave;heft;heighten;hike;hoist;jack;lift;perk;pick up;takeup;up;raise;upraise,to move from a lower to a higher place or position,Worshippers *upheld* their joined hands and sang the praises of the Lord.
